MatchId,Patch,RankFk,GameDuration,TeamID,B1Champ,B2Champ,B3Champ,B4Champ,B5Champ,R1Champ,R2Champ,R3Champ,R4Champ,R5Champ,BlueBaronKills,BlueRiftHeraldKills,BlueDragonKills,BlueTowerKills,BlueKills,RedBaronKills,RedRiftHeraldKills,RedDragonKills,RedTowerKills,RedKills,RedWin,BlueWin
EUW1_7524085062,15.18,0,105,68935,50,233,517,202,902,17,35,112,15,80,0,0,0,0,0,0,0,0,0,0,1,0
EUW1_7524111529,15.18,6,1862,880,10,60,238,15,412,80,106,8,157,12,1,1,1,8,27,0,0,4,5,26,0,1
EUW1_7524129783,15.18,5,1739,3909,86,203,517,43,235,19,106,163,22,44,1,1,2,9,40,0,0,2,4,27,0,1
EUW1_7524165724,15.18,6,1667,56115,54,24,1,145,16,41,234,133,498,63,0,0,0,3,27,1,1,4,10,43,1,0
EUW1_7524196416,15.18,6,1779,879,254,154,17,236,267,10,141,4,202,555,0,1,1,3,16,1,0,3,8,29,1,0
EUW1_7524228980,15.18,0,1649,72946,122,107,103,67,89,420,35,238,21,902,0,0,0,2,22,0,1,3,9,31,1,0
EUW1_7524239072,15.18,3,2340,1384,875,107,36,901,78,82,106,45,67,35,1,0,2,7,56,1,1,4,10,48,1,0
EUW1_7524258640,15.18,0,1864,72945,516,5,103,133,350,427,64,101,81,19,0,0,0,6,29,1,1,4,7,54,1,0
EUW1_7524292113,15.18,3,1731,1383,875,60,518,22,267,82,141,84,81,101,0,0,1,11,35,0,1,2,2,24,0,1
EUW1_7524293894,15.18,0,2531,72944,19,62,910,51,115,86,17,112,523,25,1,0,3,4,52,0,1,4,11,53,1,0
EUW1_7524351521,15.18,5,1714,5700,13,11,134,21,111,240,233,55,15,29,1,1,4,11,61,0,0,0,3,33,0,1
EUW1_7524353763,15.18,3,1955,1382,875,233,157,145,800,85,19,25,523,111,0,1,3,10,47,0,0,1,2,39,0,1
EUW1_7524358164,15.18,6,1445,2759,98,36,39,236,201,31,91,50,895,80,0,0,1,3,28,0,1,2,7,33,1,0
EUW1_7524384348,15.18,5,1796,5699,82,106,112,99,111,157,517,13,15,267,0,0,2,2,18,1,1,3,11,31,1,0
EUW1_7524391073,15.18,3,1480,1381,54,29,126,202,111,83,234,61,110,98,0,0,1,1,28,0,1,2,10,38,1,0
EUW1_7524427505,15.18,3,1726,1380,86,64,711,202,154,122,24,800,21,888,0,1,4,11,38,0,0,0,1,30,0,1
EUW1_7524433921,15.18,0,2537,71474,58,887,39,157,40,82,233,875,910,161,0,1,2,8,35,2,0,4,13,64,1,0
EUW1_7524467598,15.18,3,109,1379,875,106,131,360,25,14,876,3,51,32,0,0,0,0,1,0,0,0,0,0,0,1
EUW1_7524475994,15.18,3,1943,1378,19,5,800,51,350,80,141,45,360,32,0,0,0,2,39,0,1,4,8,47,1,0
EUW1_7524511400,15.18,3,106,1377,74,48,101,222,99,122,107,238,115,37,0,0,0,0,0,0,0,0,0,2,1,0
EUW1_7524537378,15.18,3,2037,9531,114,876,85,42,555,122,35,45,18,44,1,0,2,4,34,0,1,3,11,37,1,0
EUW1_7524546451,15.18,6,1666,3287,83,32,910,222,26,58,19,103,804,43,0,0,1,3,26,1,1,3,8,45,1,0
EUW1_7524555851,15.18,3,1983,1376,80,19,800,412,111,875,106,103,29,89,0,1,0,6,46,1,0,5,11,52,1,0
EUW1_7524584420,15.18,8,1873,32790,266,91,893,804,235,58,48,99,145,16,0,0,2,1,19,1,1,2,9,47,1,0
EUW1_7524596994,15.18,5,1076,44916,48,113,127,498,201,83,62,91,51,526,0,1,2,3,31,0,0,0,2,10,0,1
EUW1_7524613528,15.18,3,1514,9530,50,62,238,67,43,85,106,3,145,57,0,0,2,6,39,0,1,1,2,15,0,1
EUW1_7524623971,15.18,7,1659,2488,875,32,800,895,350,41,120,3,81,432,0,1,3,7,33,0,0,1,3,28,0,1
EUW1_7524626531,15.18,3,114,1375,10,106,268,15,117,75,203,103,50,111,0,0,0,0,0,0,0,0,0,0,1,0
EUW1_7524631855,15.18,3,2222,5617,887,24,157,29,432,897,107,238,90,223,0,1,1,6,44,2,0,4,9,57,1,0
EUW1_7524639830,15.18,8,1481,32789,79,24,910,222,147,23,91,61,804,89,0,0,2,10,26,0,1,1,4,21,0,1
EUW1_7524655851,15.18,5,1733,44915,266,517,3,804,800,74,113,105,202,40,0,0,1,3,8,1,1,3,10,31,1,0
EUW1_7524673272,15.18,6,2463,5432,154,19,161,235,99,54,113,29,221,117,1,1,2,5,42,1,0,3,9,46,1,0
EUW1_7524706260,15.18,5,2042,44914,150,20,245,901,497,23,5,105,18,201,0,0,1,4,28,1,1,3,11,41,1,0
EUW1_7524710822,15.18,4,2365,11205,2,59,13,222,111,157,80,134,235,902,2,1,3,8,37,0,0,3,7,32,1,0
EUW1_7524711614,15.18,4,2496,5694,82,24,800,42,161,157,107,134,81,53,1,0,2,5,54,0,1,4,10,43,1,0
EUW1_7524712090,15.18,6,1604,66884,875,63,238,145,555,126,254,61,360,78,1,0,2,11,47,0,1,1,2,32,0,1
EUW1_7524721087,15.18,6,1798,544,23,106,90,523,35,157,64,13,901,43,1,1,4,11,42,0,0,0,3,33,0,1
EUW1_7524762574,15.18,8,1718,32788,98,200,90,202,432,893,91,910,22,902,1,1,3,10,25,0,0,0,3,17,0,1
EUW1_7524764546,15.18,6,248,5431,887,64,163,67,16,54,32,55,498,497,0,0,0,0,1,0,0,0,0,2,1,0
EUW1_7524785718,15.18,4,1728,1127,223,9,157,21,89,83,102,45,15,35,1,1,3,8,38,0,0,0,4,19,0,1
EUW1_7524798333,15.18,8,105,32787,85,254,910,901,526,14,950,245,222,43,0,0,0,0,0,0,0,0,0,0,1,0
EUW1_7524817748,15.18,8,1628,32786,83,234,127,110,526,92,91,103,360,43,0,1,4,9,32,0,0,0,4,22,0,1
EUW1_7524832649,15.18,4,1410,1126,54,141,166,29,902,83,234,777,804,89,0,0,0,0,16,0,1,3,10,35,1,0
EUW1_7524844273,15.18,6,1339,878,68,107,893,901,99,10,59,777,145,32,0,0,0,1,16,0,1,2,3,30,1,0
EUW1_7524855875,15.18,4,1879,7831,122,233,45,202,22,54,48,61,145,63,0,1,3,3,18,1,0,2,10,35,1,0
EUW1_7524857672,15.18,8,1628,32785,516,203,112,145,147,50,517,901,498,412,1,1,2,11,39,0,0,1,2,28,0,1
EUW1_7524898863,15.18,2,1853,40669,83,5,127,222,902,114,233,517,22,143,0,1,1,11,22,0,0,4,6,27,0,1
EUW1_7524902944,15.18,4,827,7830,266,131,950,25,22,39,5,38,236,267,0,0,0,0,8,0,0,2,0,14,1,0
EUW1_7524907206,15.18,0,2002,68934,75,62,157,30,32,35,19,101,51,53,0,1,2,0,17,0,0,2,11,33,1,0
EUW1_7524919897,15.18,4,1973,7829,80,11,90,51,22,17,59,157,804,555,1,1,5,10,46,0,0,0,3,41,0,1
EUW1_7524948096,15.18,3,1813,45606,5,233,101,202,111,24,48,145,895,37,1,1,3,9,54,0,0,1,6,33,0,1
EUW1_7524978804,15.18,3,956,45605,19,106,777,18,412,17,20,105,51,36,0,0,1,0,10,0,0,1,3,26,1,0
EUW1_7524986624,15.18,3,1612,45604,48,233,166,81,89,2,35,7,67,36,0,1,1,8,33,0,0,3,2,21,0,1
EUW1_7525054234,15.18,6,2140,877,893,203,69,81,235,13,59,910,901,902,1,1,4,10,31,0,0,1,3,23,0,1
EUW1_7525057175,15.18,6,1236,543,86,56,13,202,267,77,35,103,15,26,0,0,0,0,7,0,1,2,3,23,1,0
EUW1_7525100442,15.18,6,1684,876,17,48,105,22,427,799,246,84,145,16,1,1,4,8,35,0,0,0,5,21,0,1
EUW1_7525112900,15.18,5,2611,9234,2,64,7,29,43,82,141,99,901,143,0,1,3,4,69,2,0,4,8,57,1,0
EUW1_7525117395,15.18,6,1841,875,114,121,238,115,16,122,154,777,15,40,0,1,0,4,34,1,0,4,8,34,1,0
EUW1_7525139267,15.18,8,1799,25720,133,950,134,42,526,83,121,61,221,888,1,0,2,8,35,0,1,2,6,26,0,1
EUW1_7525139869,15.18,3,1776,5616,54,254,245,21,902,82,106,238,145,25,0,0,1,0,17,1,1,3,10,31,1,0
EUW1_7525163387,15.18,8,1673,25719,799,200,517,81,43,83,246,161,221,555,1,1,1,10,33,0,0,2,6,29,0,1
